id,course_code,capacity,credits,dept,course_name,days,times,roster_ids,
10746,219,,4,"COM","COMPUTER ORGANIZATION",TR,1:15 pm - 2:30 pm,,
10326,302,,4,"COM","OBJECT-ORIENTED SOFTWARE DESGN",MF,11:50 am - 1:05 pm,,
10327,303,,4,"COM","DATABASE SYSTEMS",TR,10:25 am - 11:40 am,,
10328,304,,4,"COM","ALGORITHMS",TR,11:50 am - 1:05 pm,,
10329,307,,4,"COM","MACHINE LEARN/DATA MINING",MW,1:15 pm - 2:30 pm,,
10330,310,,4,"COM","ROBOTICS",TR,2:45 pm - 4:00 pm,,
10331,313,,4,"COM","ALGORITHMIC GAME THEORY",MW,10:25 am - 11:40 am,,
10332,315,,4,"COM","COMPUTER NETWORKS",W,7:00 pm - 9:45 pm,,
10333,350,,4,"COM","MOBILE APP DEVELOPMENT",TR,1:15 pm - 2:30 pm,,
10334,496,,4,"COM","RESEARCH SEMINAR",M,7:00 pm - 9:45 pm,,
10335,496,,4,"COM","RESEARCH SEMINAR",T,7:00 pm - 9:45 pm,,
